Days since 2019 January 1,Cents per litre (CAN$?)
-914.000000,109.300000
-911.000000,107.700000
-910.000000,107.400000
-909.000000,107.100000
-908.000000,105.500000
-907.000000,104.800000
-904.000000,103.500000
-903.000000,103.100000
-902.000000,104.900000
-901.000000,105.000000
-900.000000,104.000000
-897.000000,103.800000
-896.000000,103.500000
-895.000000,102.800000
-894.000000,104.000000
-893.000000,103.100000
-890.000000,102.800000
-889.000000,102.400000
-888.000000,102.000000
-887.000000,102.200000
-886.000000,101.800000
-883.000000,101.800000
-882.000000,100.800000
-881.000000,102.200000
-880.000000,102.600000
-879.000000,102.700000
-876.000000,102.700000
-875.000000,105.200000
-874.000000,105.300000
-873.000000,104.300000
-872.000000,102.800000
-869.000000,102.300000
-868.000000,102.100000
-867.000000,104.100000
-866.000000,104.200000
-865.000000,104.400000
-862.000000,104.800000
-861.000000,107.700000
-860.000000,107.700000
-859.000000,107.700000
-858.000000,107.400000
-855.000000,106.300000
-854.000000,105.900000
-853.000000,106.800000
-852.000000,106.400000
-851.000000,105.600000
-848.000000,105.600000
-847.000000,103.800000
-846.000000,102.900000
-845.000000,102.700000
-844.000000,105.000000
-841.000000,103.800000
-840.000000,103.400000
-839.000000,103.300000
-838.000000,103.200000
-837.000000,104.400000
-834.000000,107.600000
-833.000000,109.100000
-832.000000,107.400000
-831.000000,105.800000
-830.000000,105.900000
-827.000000,104.300000
-826.000000,104.000000
-825.000000,105.600000
-824.000000,105.800000
-823.000000,107.200000
-820.000000,106.100000
-819.000000,108.100000
-818.000000,109.600000
-817.000000,110.000000
-816.000000,109.600000
-813.000000,109.600000
-812.000000,108.000000
-811.000000,109.900000
-810.000000,109.200000
-809.000000,108.400000
-806.000000,108.100000
-805.000000,107.900000
-804.000000,109.200000
-803.000000,109.200000
-802.000000,108.700000
-799.000000,108.500000
-798.000000,110.200000
-797.000000,109.500000
-796.000000,109.100000
-795.000000,108.200000
-792.000000,106.700000
-791.000000,106.200000
-790.000000,105.500000
-789.000000,109.800000
-788.000000,108.300000
-785.000000,105.200000
-784.000000,104.600000
-783.000000,103.200000
-782.000000,102.400000
-781.000000,101.900000
-778.000000,99.900000
-777.000000,99.600000
