Days since 2019 January 1,Cents per litre (CAN$?)
-914.000000,117.900000
-911.000000,110.500000
-910.000000,109.300000
-909.000000,108.200000
-908.000000,107.100000
-907.000000,106.300000
-904.000000,103.600000
-903.000000,102.500000
-902.000000,112.000000
-901.000000,110.100000
-900.000000,107.400000
-897.000000,103.800000
-896.000000,102.800000
-895.000000,101.700000
-894.000000,111.000000
-893.000000,109.800000
-890.000000,106.100000
-889.000000,104.200000
-888.000000,103.000000
-887.000000,102.400000
-886.000000,102.100000
-883.000000,102.100000
-882.000000,99.800000
-881.000000,107.900000
-880.000000,108.200000
-879.000000,105.500000
-876.000000,102.500000
-875.000000,111.500000
-874.000000,111.800000
-873.000000,110.000000
-872.000000,107.400000
-869.000000,104.400000
-868.000000,104.200000
-867.000000,112.100000
-866.000000,110.500000
-865.000000,109.200000
-862.000000,106.000000
-861.000000,113.700000
-860.000000,115.100000
-859.000000,113.400000
-858.000000,111.500000
-855.000000,108.500000
-854.000000,107.300000
-853.000000,116.500000
-852.000000,115.300000
-851.000000,114.200000
-848.000000,114.200000
-847.000000,109.800000
-846.000000,107.700000
-845.000000,106.300000
-844.000000,113.700000
-841.000000,111.500000
-840.000000,108.700000
-839.000000,107.700000
-838.000000,106.700000
-837.000000,114.800000
-834.000000,110.700000
-833.000000,119.000000
-832.000000,117.900000
-831.000000,116.500000
-830.000000,114.800000
-827.000000,110.100000
-826.000000,108.600000
-825.000000,115.800000
-824.000000,115.200000
-823.000000,113.500000
-820.000000,109.800000
-819.000000,118.700000
-818.000000,117.800000
-817.000000,115.900000
-816.000000,114.500000
-813.000000,114.500000
-812.000000,109.900000
-811.000000,120.900000
-810.000000,119.000000
-809.000000,117.200000
-806.000000,112.200000
-805.000000,111.200000
-804.000000,117.800000
-803.000000,117.700000
-802.000000,116.100000
-799.000000,111.900000
-798.000000,121.300000
-797.000000,120.100000
-796.000000,118.500000
-795.000000,116.700000
-792.000000,111.700000
-791.000000,110.000000
-790.000000,109.500000
-789.000000,123.500000
-788.000000,122.800000
-785.000000,116.300000
-784.000000,115.000000
-783.000000,112.800000
-782.000000,111.200000
-781.000000,110.200000
-778.000000,107.200000
-777.000000,106.400000
-776.000000,105.600000
-775.000000,104.700000
-774.000000,112.400000
-771.000000,109.600000
-770.000000,107.800000
-769.000000,106.800000
-768.000000,116.600000
-767.000000,114.800000
-764.000000,109.900000
-763.000000,108.900000
-762.000000,115.800000
-761.000000,115.800000
