Days since 2019 January 1,Cents per litre (CAN$?)
-914.000000,106.500000
-911.000000,106.500000
-910.000000,106.500000
-909.000000,106.500000
-908.000000,104.000000
-907.000000,103.500000
-904.000000,101.500000
-903.000000,101.500000
-902.000000,102.200000
-901.000000,103.200000
-900.000000,101.700000
-897.000000,102.400000
-896.000000,102.500000
-895.000000,101.500000
-894.000000,101.400000
-893.000000,100.500000
-890.000000,101.400000
-889.000000,101.600000
-888.000000,100.600000
-887.000000,101.300000
-886.000000,100.600000
-883.000000,100.600000
-882.000000,99.500000
-881.000000,99.500000
-880.000000,100.300000
-879.000000,101.200000
-876.000000,101.700000
-875.000000,102.200000
-874.000000,101.100000
-873.000000,100.300000
-872.000000,98.600000
-869.000000,99.400000
-868.000000,99.600000
-867.000000,100.300000
-866.000000,100.600000
-865.000000,101.400000
-862.000000,103.300000
-861.000000,103.500000
-860.000000,102.400000
-859.000000,102.500000
-858.000000,103.300000
-855.000000,103.300000
-854.000000,103.300000
-853.000000,101.700000
-852.000000,101.500000
-851.000000,100.500000
-848.000000,100.500000
-847.000000,98.900000
-846.000000,97.900000
-845.000000,98.500000
-844.000000,100.900000
-841.000000,99.500000
-840.000000,99.800000
-839.000000,100.300000
-838.000000,100.300000
-837.000000,100.200000
-834.000000,105.200000
-833.000000,105.100000
-832.000000,103.200000
-831.000000,100.500000
-830.000000,101.300000
-827.000000,100.200000
-826.000000,100.500000
-825.000000,101.500000
-824.000000,102.200000
-823.000000,105.200000
-820.000000,104.300000
-819.000000,104.300000
-818.000000,104.300000
-817.000000,105.200000
-816.000000,105.000000
-813.000000,105.000000
-812.000000,105.000000
-811.000000,105.200000
-810.000000,104.100000
-809.000000,103.200000
-806.000000,104.000000
-805.000000,104.300000
-804.000000,104.700000
-803.000000,105.100000
-802.000000,105.200000
-799.000000,106.800000
-798.000000,106.900000
-797.000000,106.200000
-796.000000,106.200000
-795.000000,105.100000
-792.000000,104.400000
-791.000000,104.100000
-790.000000,104.200000
-789.000000,108.600000
-788.000000,106.200000
-785.000000,103.400000
-784.000000,103.100000
-783.000000,102.400000
-782.000000,101.500000
-781.000000,101.300000
