Days since 2019 January 1,Cents per litre (CAN$?)
-914.000000,126.500000
-911.000000,126.900000
-910.000000,126.300000
-909.000000,126.600000
-908.000000,123.600000
-907.000000,122.100000
-904.000000,122.900000
-903.000000,122.600000
-902.000000,122.600000
-901.000000,124.000000
-900.000000,121.900000
-897.000000,124.700000
-896.000000,124.700000
-895.000000,124.200000
-894.000000,122.500000
-893.000000,121.100000
-890.000000,121.500000
-889.000000,121.200000
-888.000000,119.000000
-887.000000,116.700000
-886.000000,116.400000
-883.000000,116.400000
-882.000000,115.900000
-881.000000,115.600000
-880.000000,113.700000
-879.000000,115.400000
-876.000000,120.600000
-875.000000,120.800000
-874.000000,119.800000
-873.000000,118.000000
-872.000000,116.000000
-869.000000,116.900000
-868.000000,116.600000
-867.000000,118.300000
-866.000000,121.200000
-865.000000,122.400000
-862.000000,125.900000
-861.000000,125.700000
-860.000000,124.700000
-859.000000,126.500000
-858.000000,126.500000
-855.000000,125.900000
-854.000000,125.800000
-853.000000,124.600000
-852.000000,123.700000
-851.000000,123.700000
-848.000000,123.700000
-847.000000,122.900000
-846.000000,122.700000
-845.000000,122.700000
-844.000000,124.500000
-841.000000,126.400000
-840.000000,126.800000
-839.000000,128.500000
-838.000000,126.800000
-837.000000,124.700000
-834.000000,128.900000
-833.000000,128.700000
-832.000000,124.900000
-831.000000,122.900000
-830.000000,123.700000
-827.000000,124.500000
-826.000000,123.800000
-825.000000,121.300000
-824.000000,120.300000
-823.000000,124.400000
-820.000000,126.500000
-819.000000,126.700000
-818.000000,126.600000
-817.000000,127.500000
-816.000000,127.600000
-813.000000,127.600000
-812.000000,125.700000
-811.000000,125.700000
-810.000000,125.700000
-809.000000,126.600000
-806.000000,130.600000
-805.000000,130.600000
-804.000000,130.500000
-803.000000,129.700000
-802.000000,129.500000
-799.000000,130.700000
-798.000000,130.700000
-797.000000,129.800000
-796.000000,128.800000
-795.000000,128.700000
-792.000000,127.700000
-791.000000,127.700000
-790.000000,124.000000
-789.000000,123.800000
-788.000000,121.700000
-785.000000,116.800000
-784.000000,116.500000
-783.000000,112.000000
-782.000000,111.800000
-781.000000,111.900000
-778.000000,111.600000
-777.000000,111.800000
-776.000000,110.300000
-775.000000,111.500000
-774.000000,112.600000
-771.000000,113.900000
-770.000000,113.600000
-769.000000,115.600000
-768.000000,115.500000
-767.000000,118.500000
-764.000000,117.800000
-763.000000,117.700000
-762.000000,115.800000
-761.000000,114.800000
-760.000000,118.200000
-757.000000,121.600000
-756.000000,121.800000
-755.000000,121.000000
-754.000000,120.700000
-753.000000,119.400000
-750.000000,119.500000
-749.000000,119.800000
-748.000000,120.700000
-747.000000,121.400000
-746.000000,122.400000
-743.000000,125.500000
-742.000000,125.600000
-741.000000,126.800000
-740.000000,127.500000
-739.000000,128.700000
-736.000000,128.700000
-735.000000,128.700000
-734.000000,129.800000
-733.000000,129.800000
-732.000000,130.600000
-729.000000,130.600000
-728.000000,135.800000
-727.000000,135.900000
-726.000000,134.100000
-725.000000,135.500000
-722.000000,133.800000
-721.000000,133.700000
-720.000000,130.400000
-719.000000,128.300000
-718.000000,125.900000
-715.000000,124.800000
-714.000000,124.600000
-713.000000,124.500000
-712.000000,124.400000
-711.000000,123.600000
-708.000000,124.500000
-707.000000,124.500000
-706.000000,124.700000
-705.000000,123.800000
-704.000000,118.900000
-701.000000,120.500000
-700.000000,120.700000
-699.000000,121.300000
-698.000000,123.200000
-697.000000,126.300000
-694.000000,127.500000
-693.000000,127.800000
-692.000000,126.500000
-691.000000,124.800000
-690.000000,127.200000
-687.000000,128.000000
-686.000000,128.200000
-685.000000,126.800000
-684.000000,127.500000
-683.000000,127.800000
-680.000000,127.800000
-679.000000,129.700000
-678.000000,129.700000
-677.000000,129.700000
-676.000000,130.300000
-673.000000,131.400000
-672.000000,131.300000
-671.000000,131.500000
-670.000000,133.300000
-669.000000,133.700000
-666.000000,137.300000
-665.000000,137.300000
-664.000000,137.900000
-663.000000,138.700000
-662.000000,137.600000
-659.000000,135.800000
-658.000000,135.500000
-657.000000,134.900000
-656.000000,134.400000
-655.000000,133.700000
-652.000000,133.200000
-651.000000,133.300000
-650.000000,132.800000
-649.000000,132.500000
-648.000000,132.000000
-645.000000,133.100000
-644.000000,133.000000
-643.000000,136.600000
-642.000000,137.000000
-641.000000,139.000000
-638.000000,142.400000
-637.000000,142.500000
-636.000000,141.800000
-635.000000,142.300000
-634.000000,140.700000
-631.000000,138.700000
-630.000000,138.700000
-629.000000,137.800000
-628.000000,138.400000
-627.000000,138.400000
-624.000000,139.500000
-623.000000,139.700000
-622.000000,139.700000
-621.000000,140.200000
-620.000000,137.800000
-617.000000,136.800000
-616.000000,136.300000
-615.000000,135.900000
-614.000000,135.500000
-613.000000,133.800000
-610.000000,131.600000
-609.000000,131.600000
-608.000000,130.800000
-607.000000,129.800000
-606.000000,131.200000
-603.000000,130.000000
-602.000000,130.300000
-601.000000,131.000000
-600.000000,130.500000
-599.000000,132.700000
-596.000000,136.300000
-595.000000,136.500000
-594.000000,137.300000
